United States, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 27/06/2022
Year    Age        ASFR
1933     12-    0.00004
1933     13     0.00044
1933     14     0.00177
1933     15     0.00672
1933     16     0.01875
1933     17     0.03846
1933     18     0.06586
1933     19     0.08719
1933     20     0.10136
1933     21     0.10639
1933     22     0.11349
1933     23     0.11785
1933     24     0.11476
1933     25     0.11388
1933     26     0.10873
1933     27     0.10118
1933     28     0.10283
1933     29     0.09094
1933     30     0.09009
1933     31     0.06941
1933     32     0.07813
1933     33     0.07614
1933     34     0.06013
1933     35     0.06009
1933     36     0.05416
1933     37     0.04748
1933     38     0.04755
1933     39     0.03724
1933     40     0.03078
1933     41     0.01967
1933     42     0.01877
1933     43     0.01283
1933     44     0.00808
1933     45     0.00526
1933     46     0.00245
1933     47     0.00127
1933     48     0.00081
1933     49     0.00037
1933     50     0.00009
1933     51     0.00003
1933     52     0.00003
1933     53     0.00003
1933     54     0.00002
1933     55+    0.00000
1934     12-    0.00002
1934     13     0.00040
1934     14     0.00198
1934     15     0.00715
1934     16     0.01991
1934     17     0.04062
1934     18     0.06957
1934     19     0.09155
1934     20     0.10749
1934     21     0.11296
1934     22     0.11807
1934     23     0.12034
1934     24     0.12208
1934     25     0.11536
1934     26     0.11399
1934     27     0.10487
1934     28     0.10554
1934     29     0.09483
1934     30     0.09330
1934     31     0.07239
1934     32     0.07541
1934     33     0.06993
1934     34     0.07248
1934     35     0.05676
1934     36     0.05401
1934     37     0.04670
1934     38     0.04769
1934     39     0.03752
1934     40     0.03024
1934     41     0.01963
1934     42     0.01874
1934     43     0.01235
1934     44     0.00789
1934     45     0.00491
1934     46     0.00242
1934     47     0.00122
1934     48     0.00087
1934     49     0.00037
1934     50     0.00011
1934     51     0.00002
1934     52     0.00002
1934     53     0.00001
1934     54     0.00001
1934     55+    0.00000
1935     12-    0.00002
1935     13     0.00044
1935     14     0.00209
1935     15     0.00772
1935     16     0.02046
1935     17     0.04108
1935     18     0.06953
1935     19     0.09187
1935     20     0.10786
1935     21     0.11421
1935     22     0.11915
1935     23     0.12022
1935     24     0.11778
1935     25     0.11656
1935     26     0.10936
1935     27     0.10507
1935     28     0.10411
1935     29     0.09276
1935     30     0.09212
1935     31     0.07185
1935     32     0.07388
1935     33     0.06342
1935     34     0.06336
1935     35     0.06493
1935     36     0.04922
1935     37     0.04429
1935     38     0.04481
1935     39     0.03572
1935     40     0.02936
1935     41     0.01859
1935     42     0.01764
1935     43     0.01164
1935     44     0.00721
1935     45     0.00463
1935     46     0.00222
1935     47     0.00123
1935     48     0.00071
1935     49     0.00038
1935     50     0.00012
1935     51     0.00003
1935     52     0.00003
1935     53     0.00003
1935     54     0.00002
1935     55+    0.00000
1936     12-    0.00004
1936     13     0.00036
1936     14     0.00197
1936     15     0.00732
1936     16     0.02092
1936     17     0.03999
1936     18     0.06906
1936     19     0.09069
1936     20     0.10680
1936     21     0.11575
1936     22     0.11920
1936     23     0.12143
1936     24     0.11824
1936     25     0.11497
1936     26     0.11147
1936     27     0.10191
1936     28     0.10366
1936     29     0.09200
1936     30     0.09024
1936     31     0.07127
1936     32     0.07279
1936     33     0.06365
1936     34     0.05784
1936     35     0.05589
1936     36     0.05633
1936     37     0.04005
1936     38     0.04158
1936     39     0.03323
1936     40     0.02769
1936     41     0.01770
1936     42     0.01640
1936     43     0.01085
1936     44     0.00680
1936     45     0.00419
1936     46     0.00219
1936     47     0.00104
1936     48     0.00067
1936     49     0.00034
1936     50     0.00012
1936     51     0.00003
1936     52     0.00004
1936     53     0.00003
1936     54     0.00003
1936     55+    0.00001
1937     12-    0.00006
1937     13     0.00042
